Location,Latitude,Longitude
Thiruvananthapuram,8.5241,76.9366
Kochi,9.9312,76.2673
Kollam,8.8932,76.6141
Thrissur,10.5276,76.2144
Kozhikode,11.2588,75.7804
Alappuzha,9.4981,76.3388
Kannur,11.8745,75.3704
Palakkad,10.7867,76.6548
Malappuram,11.0737,76.0767
Kasaragod,12.4997,74.9998
Wayanad,11.685,76.0856
Pathanamthitta,9.27,76.7878
Idukki,9.8498,76.972
Munnar,10.0889,77.0595
Varkala,8.736,76.7154
Guruvayur,10.5931,76.0404
Kumarakom,9.618,76.4077
Vagamon,9.6855,76.9209
Thalassery,11.7461,75.4963
Kovalam,8.3992,76.9789
Chavakkad,10.5385,76.0355
Cherthala,9.6826,76.3369
Ponnani,10.7745,75.9253
Ottappalam,10.785,76.3646
Nilambur,11.2825,76.2225
Mananthavady,11.8029,76.0035
Thodupuzha,9.9133,76.7226
Kalpetta,11.6118,76.083
Muvattupuzha,9.9744,76.5703
Adoor,9.0242,76.7872
Kanhangad,12.3126,75.1039
Angamaly,10.2027,76.3826
Pandalam,9.0057,76.7729
Thrikkakara,10.0294,76.3294
Thiruvalla,9.3839,76.5742
Aluva,10.106,76.3553
Kottayam,9.5918,76.5222
Paravur,8.7938,76.6927
Kasargod,12.4998,74.9997
Payyannur,12.1065,75.2025
Kattappana,9.6863,77.1169
